,,,,,
,,,,,
,,,,,
,,,,,
cod,estado,region,cod_agencia,nombre_agencia,rentabilidad_may
2,Amazonas,Capital Centro,575,Puerto Ayacucho (575),"11.335.948,18"
2,Amazonas,Capital Centro,687,Atabapo (687),"-53.505,52"
4,Apure,Capital Centro,51,San Fernando de Apure (51),"21.389.978,69"
4,Apure,Capital Centro,275,San Fernando de Apure II (275),"12.765.576,85"
4,Apure,Capital Centro,90,Mantecal (90),"10.459.149,83"
4,Apure,Capital Centro,37,Elorza (37),"8.858.162,76"
4,Apure,Capital Centro,217,Achaguas (217),"8.500.710,51"
4,Apure,Capital Centro,22,Guasdualito (22),"1.800.983,16"
5,Aragua,Capital Centro,576,C.C Aviadores (576),"64.438.946,77"
5,Aragua,Capital Centro,191,Maracay Av. Miranda (191),"34.652.757,96"
5,Aragua,Capital Centro,87,La Victoria (87),"12.853.833,02"
5,Aragua,Capital Centro,197,San Sebastián de los Reyes (197),"12.716.963,93"
5,Aragua,Capital Centro,150,Tejerías (150),"7.940.499,15"
5,Aragua,Capital Centro,198,Santa Cruz de Aragua (198),"6.245.500,67"
5,Aragua,Capital Centro,131,Cagua (131),"2.564.708,32"
5,Aragua,Capital Centro,105,Camatagua (105),"1.669.880,91"
5,Aragua,Capital Centro,244,Ocumare de la Costa (244),"986.303,21"
5,Aragua,Capital Centro,310,Barbacoas (310),"878.692,82"
5,Aragua,Capital Centro,73,Villa de Cura (73),"781.163,55"
5,Aragua,Capital Centro,415,Turmero (415),"341.709,01"
8,Carabobo,Capital Centro,545,San Diego (545),"101.868.137,09"
8,Carabobo,Capital Centro,408,Naguanagua (408),"47.475.264,15"
8,Carabobo,Capital Centro,577,C.C. Caribbean Plaza (577),"24.546.367,81"
8,Carabobo,Capital Centro,135,Mariara (135),"11.449.867,01"
8,Carabobo,Capital Centro,407,Cedeño (407),"8.596.279,74"
8,Carabobo,Capital Centro,161,Guacara (161),"7.522.266,53"
8,Carabobo,Capital Centro,156,Tocuyito (156),"7.509.478,33"
8,Carabobo,Capital Centro,86,Puerto Cabello (86),"5.114.029,70"
1,Gran Caracas,Capital Centro,473,La Principal (473),"11.326.847.708,16"
1,Gran Caracas,Capital Centro,322,Centro Lido (322),"355.364.203,04"
1,Gran Caracas,Capital Centro,160,El Hatillo (160),"267.794.847,82"
1,Gran Caracas,Capital Centro,656,Sabana Grande (656),"194.304.391,06"
1,Gran Caracas,Capital Centro,362,Chacaíto (362),"134.786.921,66"
1,Gran Caracas,Capital Centro,462,Torre Domus (462),"131.445.988,76"
1,Gran Caracas,Capital Centro,44,Caracas (44),"75.604.718,62"
1,Gran Caracas,Capital Centro,490,Chacao (490),"62.892.136,44"
1,Gran Caracas,Capital Centro,443,C.C.C.T. (443),"39.200.941,49"
1,Gran Caracas,Capital Centro,289,Los Palos Grandes (289),"37.926.263,95"
1,Gran Caracas,Capital Centro,484,Los Próceres (484),"33.843.153,51"
1,Gran Caracas,Capital Centro,574,Manzanares (574),"32.108.451,46"
1,Gran Caracas,Capital Centro,566,El Marqués (566),"31.173.283,61"
1,Gran Caracas,Capital Centro,453,Av. Universidad (453),"25.332.482,92"
1,Gran Caracas,Capital Centro,120,Montalbán (120),"25.300.768,40"
1,Gran Caracas,Capital Centro,473,La Principal (473),"11.326.847.708,16"
1,Gran Caracas,Capital Centro,322,Centro Lido (322),"355.364.203,04"
1,Gran Caracas,Capital Centro,160,El Hatillo (160),"267.794.847,82"
1,Gran Caracas,Capital Centro,656,Sabana Grande (656),"194.304.391,06"
1,Gran Caracas,Capital Centro,362,Chacaíto (362),"134.786.921,66"
1,Gran Caracas,Capital Centro,462,Torre Domus (462),"131.445.988,76"
1,Gran Caracas,Capital Centro,44,Caracas (44),"75.604.718,62"
1,Gran Caracas,Capital Centro,490,Chacao (490),"62.892.136,44"
1,Gran Caracas,Capital Centro,443,C.C.C.T. (443),"39.200.941,49"
1,Gran Caracas,Capital Centro,289,Los Palos Grandes (289),"37.926.263,95"
1,Gran Caracas,Capital Centro,484,Los Próceres (484),"33.843.153,51"
1,Gran Caracas,Capital Centro,574,Manzanares (574),"32.108.451,46"
1,Gran Caracas,Capital Centro,566,El Marqués (566),"31.173.283,61"
1,Gran Caracas,Capital Centro,453,Av. Universidad (453),"25.332.482,92"
1,Gran Caracas,Capital Centro,120,Montalbán (120),"25.300.768,40"
12,Guarico,Capital Centro,80,Calabozo (80),"167.616.516,82"
12,Guarico,Capital Centro,94,Valle La Pascua (94),"158.767.288,04"
12,Guarico,Capital Centro,176,Santa María de Ipire (176),"24.533.732,31"
12,Guarico,Capital Centro,578,San Juan de los Morros II (578),"20.227.056,86"
12,Guarico,Capital Centro,93,Zaraza (93),"10.956.466,94"
12,Guarico,Capital Centro,184,Las Mercedes del Llano (184),"5.243.128,83"
12,Guarico,Capital Centro,167,Camaguán (167),"4.341.737,46"
12,Guarico,Capital Centro,569,Altagracia de Orituco II (569),"2.668.080,39"
12,Guarico,Capital Centro,146,Tucupido (146),"2.336.859,02"
12,Guarico,Capital Centro,144,El Sombrero (144),"2.145.776,01"
12,Guarico,Capital Centro,231,Guayabal (231),"2.003.587,31"
12,Guarico,Capital Centro,243,Cabruta (243),"1.359.197,64"
12,Guarico,Capital Centro,612,Ortíz (612),"1.237.896,21"
12,Guarico,Capital Centro,142,Chaguaramas (142),"-559.936,70"
24,La Guaira ,Capital Centro,190,Catia la Mar (190),"184.615.999,00"
24,La Guaira ,Capital Centro,621,Terminal Catia la Mar (621),"11.889.593,00"
24,La Guaira ,Capital Centro,100,Colonia Tovar (100),"4.178.357,00"
24,La Guaira ,Capital Centro,248,Puerto Litoral (248),"6.729.359,00"
24,La Guaira ,Capital Centro,83,La Guaira (83),"5.044.325,00"
15,Miranda,Capital Centro,520,San Antonio de los Altos II (520),"27.623.692,22"
15,Miranda,Capital Centro,84,Guarenas (84),"25.669.753,61"
15,Miranda,Capital Centro,102,Los Teques (102),"22.360.388,86"
15,Miranda,Capital Centro,115,Guatire (115),"10.139.040,15"
15,Miranda,Capital Centro,121,San Antonio de los Altos (121),"9.058.478,41"
15,Miranda,Capital Centro,370,Ocumare del Tuy Av. Miranda (370),"7.980.134,93"
15,Miranda,Capital Centro,124,Higuerote (124),"7.282.494,81"
15,Miranda,Capital Centro,116,Charallave (116),"3.839.806,91"
15,Miranda,Capital Centro,128,San Jose de Barlovento (128),"3.215.467,75"
15,Miranda,Capital Centro,377,Cúa (377),"2.726.477,13"
15,Miranda,Capital Centro,239,Cúpira (239),"1.237.568,02"
15,Miranda,Capital Centro,383,Santa Teresa del Tuy (383),"595.787,79"
15,Miranda,Capital Centro,630,Ivic (630),"59.788,03"
6,Barinas,Centro Occidente,185,Alto Barinas (185),"642.366.873,88"
6,Barinas,Centro Occidente,29,Ciudad Bolivia (29),"17.393.976,80"
6,Barinas,Centro Occidente,41,Socopó (41),"10.781.711,62"
6,Barinas,Centro Occidente,125,Ciudad de Nutrias (125),"10.365.209,49"
6,Barinas,Centro Occidente,92,Barinas Centro (92),"8.605.609,72"
6,Barinas,Centro Occidente,222,Barinitas (222),"4.409.832,68"
6,Barinas,Centro Occidente,32,Sabaneta (32),"4.353.151,41"
6,Barinas,Centro Occidente,187,Arismendi (187),"3.523.333,24"
6,Barinas,Centro Occidente,203,El Cantón (203),"2.711.087,93"
6,Barinas,Centro Occidente,136,Barrancas (136),"2.101.108,77"
6,Barinas,Centro Occidente,91,Santa Inés (91),"1.251.547,64"
6,Barinas,Centro Occidente,225,Santa Rosa (225),"1.192.022,98"
6,Barinas,Centro Occidente,132,Libertad Barinas (132),"692.737,32"
6,Barinas,Centro Occidente,25,Santa Bárbara de Barinas (25),"334.812,70"
9,Cojedes,Centro Occidente,65,San Carlos (65),"17.171.360,70"
9,Cojedes,Centro Occidente,152,Tinaco (152),"2.724.019,52"
9,Cojedes,Centro Occidente,221,El Baúl (221),"2.244.310,72"
9,Cojedes,Centro Occidente,246,Las Vegas (246),"1.410.704,96"
9,Cojedes,Centro Occidente,70,Tinaquillo (70),"489.457,63"
13,Lara,Centro Occidente,72,Mercabar (72),"361.992.976,90"
13,Lara,Centro Occidente,166,Cabudare (166),"250.590.906,40"
13,Lara,Centro Occidente,50,Barquisimeto (50),"121.017.441,01"
13,Lara,Centro Occidente,397,Torre Central (397),"82.685.669,14"
