,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Categoria,Entidad,Cantidad_equipos,Equipos_con_transacciones,Porcentaje_Equipos_con_transacciones,Equipos_sin_transacciones,Cantidad_de_transacciones,Monto_liquidado_us
AGREGADOS,CREDICARDPOS,9457,7654,"80,93 %",1803,2242860,13377097
AGREGADOS,FASTPAYMENT,3453,2846,"82,42 %",607,843646,3503449
AGREGADOS,DISGLOBAL,2315,2009,"86,78 %",306,1192077,4812774
AGREGADOS,POSGLOBAL,1990,1417,"71,21 %",573,598737,2492329
AGREGADOS,VEPAGOS,1509,1303,"86,35 %",206,440620,2115451
AGREGADOS,RAPID PAGO,1096,1009,"92,02 %",87,668666,2808638
AGREGADOS,FG METROPOLIS,875,813,"92,91 %",62,188146,856874
AGREGADOS,BEST PAY,777,653,"84,04 %",124,165045,706087
AGREGADOS,POSMASTER2021,580,517,"89,14 %",63,195977,1019859
AGREGADOS,KAFREGA,430,333,"77,44 %",97,30589,154824
AGREGADOS,CORPOCREDIT,260,223,"85,77 %",37,61159,360305
AGREGADOS,PAGUETODO,255,154,"60,39 %",101,11001,66093
AGREGADOS,PAGONET,187,170,"90,91 %",17,35990,387202
AGREGADOS,INTELIPUNTO,182,153,"84,07 %",29,51214,304946
AGREGADOS,TOKEN PAGO POS,81,69,"85,19 %",12,18823,71722
AGREGADOS,THUNDERNET,63,46,"73,02 %",17,4926,11454
AGREGADOS,CONSULTEL,31,27,"87,10 %",4,4956,29293
AGREGADOS,POSCOMERCIAL,25,18,"72,00 %",7,4057,21532
AGREGADOS,SUNMI,23,23,"100,00 %",0,52019,359277
AGREGADOS,UBIPAGOS,12,6,"50,00 %",6,645,2376
AGREGADOS,UNIDIGITAL,7,6,"85,71 %",1,702,4174
BANCOS,BANCOS,2989,2213,"74,04 %",776,607352,2837104
BANCOS,BANCOS,2989,2213,"74,04 %",776,607352,2837104
PROVEEDORES,MEGASOFT - SERVICIO VIRTUAL,2011,750,"37,29 %",1261,29975,941147
PROVEEDORES,SITEF - SERVICIO VIRTUAL,30,23,"76,67 %",7,8129,94460
CCR,CCR,3,2,"66,67 %",1,14,426
CCR,CCR,3,2,"66,67 %",1,14,426
TOTAL,TOTAL,28641,22437,"78,34 %",6204,7457325,37338893
