,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
grupo_geografico,REGIONAL,CANTIDAD DE OFICINAS,2025,Distribución 2025,"202600,00 %",Distribución 2026,Mestas 2026 USD
Grupo A,CARABOBO,14,"75,00 %","3,00 %","50,00 %","15,00 %",7636523
Grupo A,GRAN CARACAS,30,"75,00 %","86,00 %","50,00 %","60,00 %",29455158
Grupo A,MIRANDA,13,"75,00 %","3,00 %","50,00 %","10,00 %",5454659
Grupo A,LA GUAJIRA,4,"75,00 %","2,00 %","50,00 %","5,00 %",4363727
Grupo A,ARAGUA,13,"75,00 %","3,00 %","50,00 %","5,00 %",4363727
Grupo A,GUÁRICO,14,"75,00 %","2,00 %","50,00 %","3,00 %",2727329
Grupo A,AMAZONAS,2,"75,00 %","0,00 %","50,00 %","1,00 %",163640
Grupo A,APURE,6,"75,00 %","1,00 %","50,00 %","1,00 %",436373
Grupo B,COJEDES,6,"7,00 %","6,00 %","20,00 %","7,00 %",413896
Grupo B,PORTUGUESA,9,"7,00 %","24,00 %","20,00 %","25,00 %",4298837
Grupo B,YARACUY,7,"7,00 %","8,00 %","20,00 %","25,00 %",5265979
Grupo B,LARA,13,"7,00 %","46,00 %","20,00 %","29,00 %",4780195
Grupo B,BARINAS,14,"7,00 %","15,00 %","20,00 %","17,00 %",7059729
Grupo C,TÁCHIRA,31,"12,00 %","24,00 %","20,00 %","19,00 %",3054609
Grupo C,MÉRIDA,11,"12,00 %","12,00 %","20,00 %","8,00 %",1090932
Grupo C,TRUJILLO,7,"12,00 %","6,00 %","20,00 %","5,00 %",1309118
Grupo C,ZULIA,20,"12,00 %","38,00 %","20,00 %","57,00 %",15709418
Grupo C,FALCÓN,20,"12,00 %","20,00 %","20,00 %","11,00 %",654559
Grupo D,ANZOÁTEGUI,12,"6,00 %","28,00 %","10,00 %","31,00 %",3927354
Grupo D,MONAGAS,8,"6,00 %","11,00 %","10,00 %","15,00 %",2290957
Grupo D,NUEVA ESPARTA,10,"6,00 %","20,00 %","10,00 %","22,00 %",1636398
Grupo D,DELTA AMACURO,1,"6,00 %","2,00 %","10,00 %","3,00 %",327280
Grupo D,BOLÍVAR,12,"6,00 %","23,00 %","10,00 %","19,00 %",2618236
Grupo D,SUCRE,9,"6,00 %","15,00 %","10,00 %","10,00 %",109093
,,,,,,,109147726
