REGION,estado_asig,cod_agencia,nombre_agencia,rentabilidad,pos,TIER
Capital Centro,Gran Caracas,473,La Principal (473),11326847708.16,110,ALFA
Occidente,Zulia,320,Maracaibo Av. Bella Vista (320),1221186014.38,38,ALFA
Centro Occidente,Barinas,185,Alto Barinas (185),642366873.88,8,ALFA
Occidente,Zulia,581,Los Háticos (581),522809298.93,38,ALFA
Centro Occidente,Lara,72,Mercabar (72),361992976.9,5,ALFA
Capital Centro,Gran Caracas,322,Centro Lido (322),355364203.04,92,ALFA
Oriente,Bolívar,172,Unare (172),277105167.68,6,ALFA
Capital Centro,Gran Caracas,160,El Hatillo (160),267794847.82,80,ALFA
Centro Occidente,Lara,166,Cabudare (166),250590906.4,4,ALFA
Capital Centro,Gran Caracas,656,Sabana Grande (656),194304391.06,68,ALFA
Capital Centro,La Guaira,190,Catia la Mar (190),184615999.0,17,ALFA
Capital Centro,Guárico,80,Calabozo (80),167616516.82,6,ALFA
Capital Centro,Guárico,94,Valle La Pascua (94),158767288.04,5,ALFA
Occidente,Trujillo,12,Valera (12),146027021.29,22,ALFA
Occidente,Táchira,39,Pirineos (39),142852557.73,9,ALFA
Capital Centro,Gran Caracas,362,Chacaíto (362),134786921.66,56,ALFA
Capital Centro,Gran Caracas,462,Torre Domus (462),131445988.76,56,ALFA
Centro Occidente,Lara,50,Barquisimeto (50),121017441.01,4,ALFA
Centro Occidente,Portuguesa,343,Acarigua Av. Libertador (343),116172042.74,13,ALFA
Capital Centro,Carabobo,545,San Diego (545),101868137.09,27,ALFA
Oriente,Anzoátegui,63,El Tigre (63),85172652.4,10,ALFA
Centro Occidente,Portuguesa,390,C.C. Buenaventura (390),83085797.4,13,BRAVO
Centro Occidente,Lara,397,Torre Central (397),82685669.14,4,BRAVO
Oriente,Monagas-Delta Amacuro,560,Maturin Av. Juncal (560),81072332.63,12,BRAVO
Capital Centro,Gran Caracas,44,Caracas (44),75604718.62,42,BRAVO
Occidente,Táchira,126,Las Cristinas (126),75603425.05,9,BRAVO
Oriente,Anzoátegui,616,Puente Real Barcelona (616),73654468.06,10,BRAVO
Capital Centro,Aragua,576,C.C Aviadores (576),64438946.77,12,BRAVO
Capital Centro,Gran Caracas,490,Chacao (490),62892136.44,39,BRAVO
Centro Occidente,Portuguesa,58,Ospino (58),58101748.75,13,BRAVO
Occidente,Táchira,199,Capacho Independencia (199),55135420.3,8,BRAVO
Centro Occidente,Portuguesa,107,Guanare II (107),53070575.57,13,BRAVO
Capital Centro,Carabobo,408,Naguanagua (408),47475264.15,27,BRAVO
Occidente,Mérida,40,Mérida Centro (40),40311166.91,5,BRAVO
Centro Occidente,Yaracuy,438,San Felipe 5ta. Avenida (438),39422122.78,12,BRAVO
Capital Centro,Gran Caracas,443,C.C.C.T. (443),39200941.49,30,BRAVO
Capital Centro,Gran Caracas,289,Los Palos Grandes (289),37926263.95,30,BRAVO
Capital Centro,Aragua,191,Maracay Av. Miranda (191),34652757.96,12,BRAVO
Capital Centro,Gran Caracas,484,Los Próceres (484),33843153.51,28,BRAVO
Oriente,Nueva Esparta,457,Boulevard Gómez (457),33051460.08,4,BRAVO
